genes,ExonLength,chr,chr_start,chr_end,WT_rep_1,WT_rep_2,WT_rep_3,WT_rep_4,KO_rep_1,KO_rep_2,KO_rep_3,KO_rep_4,DKO_rep_1,DKO_rep_2,DKO_rep_3
D630011A20Rik,502,8,12554269,12573320,1,1,0,1,71,20,31,16,8,3,4
D630023F18Rik,2667,1,65105284,65123214,1022,700,899,707,308,444,191,189,410,444,290
D630024D03Rik,1567,11,31790112,31824524,751,547,662,647,141,160,86,153,391,559,508
D630029K05Rik,2717,10,116964706,116969105,176,165,229,197,32,124,35,32,133,162,217
D630036H23Rik,940,12,36381241,36382181,8,13,15,12,18,17,16,10,14,23,32
D630039A03Rik,2830,4,57908482,57916297,1525,1351,1630,1575,809,856,690,602,1044,1569,1693
D630045J12Rik,13450,6,38123173,38254009,2802,2628,3069,3106,2479,2460,2804,1801,2012,3028,2665
D6Wsu163e,2238,6,126939965,126975704,930,865,901,941,830,545,698,540,767,979,933
D730003I15Rik,547,1,191224473,191225686,67,73,76,52,77,85,77,72,45,90,106
D7Ertd443e,3483,7,134266261,134385661,28,30,54,37,20,35,34,14,26,36,49
D830044I16Rik,2054,7,126971719,126976098,5,10,9,6,20,9,15,23,8,16,11
D8Ertd738e,659,8,84246236,84249761,3105,3162,3207,3179,3782,3205,3184,3838,3013,3901,3835
D8Ertd82e,9606,8,36094827,36147787,656,597,741,761,929,872,1116,639,671,789,614
D930015E06Rik,4909,3,83898286,84040161,318,342,328,284,805,482,931,468,404,709,600
D930016D06Rik,4509,5,104525734,104554211,532,455,592,669,648,707,832,750,523,751,607
D930048N14Rik,3429,11,51650953,51657681,176,283,242,253,586,543,699,607,241,352,244
Daam1,6004,12,71831077,71992367,1545,1354,1429,1441,1885,1326,2073,989,1320,1828,1710
Daam2,6045,17,49456021,49564337,999,1038,1182,1047,1419,1252,1336,291,1005,1477,1022
Dab1,7908,4,103619358,104744844,286,357,292,287,523,441,481,266,436,462,343
Dab2,7342,15,6299787,6440712,23509,19550,23162,23731,17391,16881,14671,13463,16530,20887,19716
Dab2ip,8366,2,35558265,35730994,2369,2242,2296,2245,3140,2622,3860,1957,2071,2921,2424
Dach1,7317,14,97786852,98169765,838,683,872,756,874,837,1062,495,621,896,825
Dact1,3761,12,71309883,71320107,35,30,50,47,84,71,88,22,29,63,56
Dact2,2808,17,14195230,14203831,1293,1081,1400,1195,1576,1389,1613,1262,1005,1266,1482
Dact3,2828,7,16875316,16887301,87,101,91,88,300,179,342,120,124,178,154
Dad1,3916,14,54235478,54254104,4336,3880,4190,3965,4688,4294,4258,4580,3523,4403,4785
Dag1,4563,9,108205954,108263924,7274,7821,6926,6336,10695,8457,13011,3979,6758,9027,7401
Dagla,5747,19,10245264,10304877,358,302,363,433,424,336,545,360,337,583,457
Daglb,3712,5,143464492,143504442,629,545,677,611,939,643,927,635,594,984,819
Dak,2253,19,10592199,10604258,15971,12225,13262,14295,6676,9276,7026,8345,10103,11939,10788
Dalrd3,1737,9,108569891,108572771,2156,2100,2293,2287,2098,1985,2139,2073,1925,2519,2199
Dancr,1043,5,74093059,74095405,80,118,72,87,111,136,146,146,75,100,98
Dand5,1584,8,84815404,84822823,269,271,273,252,239,204,212,220,194,319,271
Dao,2431,5,114003702,114025449,12302,9872,11582,11315,7897,11105,6157,9969,8279,10252,11422
Dap,1925,15,31224313,31274341,2840,3045,3025,2845,4641,2978,5134,3135,2646,3319,3717
Dap3,6483,3,88920802,88951181,2831,2785,2863,2798,2451,2400,2336,2038,2406,3180,3061
Dapk1,5934,13,60601946,60763185,3550,3338,4294,3688,3213,3018,4146,1961,3345,5100,4149
Dapk2,3512,9,66158222,66272242,312,320,396,347,511,340,344,165,376,614,462
Dapk3,1766,10,81183006,81193197,843,767,814,820,1064,797,1100,969,841,979,862
Dapl1,679,2,59484652,59505020,4,9,9,5,14,8,10,14,18,6,8
Dapp1,3284,3,137931006,137981545,135,163,147,115,618,251,740,281,284,463,414
Dars,4358,1,128363706,128417368,3399,2992,3455,3138,3134,2943,3157,2038,2774,3456,3427
Dars2,5195,1,161040600,161070658,1255,1245,1392,1163,977,915,1041,583,1197,1549,1439
Daw1,2140,1,83159751,83210574,13,12,17,12,20,9,8,15,8,17,16
Daxx,3058,17,33909413,33915589,883,914,915,952,1477,1097,1547,981,1040,1495,1328
Dazap1,2944,10,80261485,80288408,1393,1338,1455,1389,2135,1925,2323,1812,1368,1847,1574
Dazap2,1826,15,100615627,100620731,11208,11017,11666,11032,14667,15198,16308,11560,10579,14213,14770
Dbf4,6571,5,8396972,8422716,85,105,118,76,365,168,293,180,145,196,165
Dbi,1422,1,120113279,120121078,19462,16273,18544,17830,20892,24058,17847,24072,19610,22589,22308
Dbn1,4514,13,55473428,55488111,907,780,908,819,1974,1414,2570,1026,679,1008,986
Dbndd2,4389,2,164486105,164493319,62,91,74,91,177,162,184,106,99,106,96
Dbnl,2346,11,5788487,5800962,2270,2125,2300,2197,3718,2563,3741,2305,2425,3370,3674
Dbp,2945,7,45705087,45710155,153,216,73,152,463,632,609,879,161,157,389
Dbr1,2488,9,99575798,99584501,481,455,508,464,580,552,641,439,424,637,611
Dbt,3296,3,116513069,116549976,5275,4619,5562,4537,2220,3191,2521,2165,3779,5297,5105
Dcaf10,7305,4,45342100,45379759,999,969,1056,1048,1138,1008,1232,753,901,1282,1088
Dcaf11,8070,14,55560005,55570065,5879,5746,6112,5523,4717,4659,4690,2918,4897,6777,6500
Dcaf12,3442,4,41291299,41314889,2557,2418,2575,2628,2827,2391,3040,1954,2301,3173,2733
Dcaf12l1,3531,X,44786569,44790197,211,203,216,202,155,122,172,121,172,261,174
Dcaf13,1551,15,39112864,39146856,819,811,865,887,1210,1041,1212,852,813,1011,1021
Dcaf15,2320,8,84097074,84104773,498,485,550,528,809,668,1042,765,540,765,674
Dcaf17,9806,2,71055327,71099142,689,633,724,733,695,542,837,492,610,889,737
Dcaf4,2081,12,83520465,83541988,241,239,281,256,360,239,362,265,222,387,384
Dcaf5,5707,12,80335846,80436601,1641,1621,1781,1681,2461,2139,2946,1552,1560,2575,2144
Dcaf6,3297,1,165329510,165460465,2133,1984,2170,2086,2323,2184,2411,1590,1846,2446,2354
Dcaf7,6133,11,106036871,106059324,4168,3966,4010,3639,4652,3758,5273,2614,3305,4831,4554
Dcaf8,3743,1,172148014,172196393,7538,7023,8372,7285,6605,7675,6904,5360,5704,7937,8482
Dcakd,2556,11,102994046,103028333,77,84,108,92,133,103,162,75,85,121,102
Dcbld1,7282,10,52233618,52321378,984,893,955,986,858,936,1080,874,892,1214,974
Dcbld2,8401,16,58408442,58469727,709,717,706,604,1140,808,1248,498,590,979,887
Dcdc2a,8284,13,25056003,25210706,1054,1165,1261,902,4276,3391,5943,2334,2130,2261,1550
Dchs1,11070,7,105752988,105787654,239,250,321,268,608,427,612,293,308,473,277
Dck,3078,5,88764995,88783281,185,195,224,159,586,237,597,218,359,493,483
Dclk1,12991,3,55242525,55539064,12,13,22,16,173,88,165,45,70,61,78
Dclk2,4047,3,86786149,86920884,200,213,261,174,130,51,104,63,195,354,225
Dclk3,3495,9,111439080,111489608,2502,2301,2275,2523,1549,1400,1637,1233,1782,2429,2090
Dclre1a,6384,19,56529166,56548222,474,516,557,536,548,470,623,399,510,713,575
Dclre1b,8152,3,103800604,103809444,150,219,171,161,375,414,388,208,191,304,244
Dclre1c,9316,2,3424130,3464130,155,133,148,141,218,136,251,114,153,280,207
Dcn,2084,10,97479499,97518162,1287,1343,2021,2025,5077,4961,6957,1224,2914,3604,3104
Dcp1a,5616,14,30479564,30527056,691,691,698,729,797,692,1072,609,645,940,721
Dcp1b,6339,6,119175252,119221616,312,276,340,328,444,442,534,402,299,422,426
Dcp2,8643,18,44380499,44424969,1483,1604,1545,1652,1812,1339,2311,1024,1570,2524,2097
Dcps,1451,9,35124407,35176061,560,464,554,517,683,548,659,390,484,715,662
Dcst1,4180,3,89350218,89365253,69,96,115,96,62,98,79,66,91,122,132
Dcstamp,1993,15,39745931,39760934,1,0,1,1,13,7,37,6,16,19,34
Dctd,3409,8,48099091,48153233,51,77,57,39,106,60,128,53,66,62,49
Dctn1,6509,6,83165919,83200117,4801,4472,4760,5006,5765,5046,6056,3850,3723,5286,4614
Dctn2,1918,10,127266261,127281959,5542,5249,5679,5180,8242,7159,8517,6680,5100,6746,6673
Dctn3,1042,4,41714797,41723170,751,721,768,751,879,730,807,718,647,867,809
Dctn4,3714,18,60526220,60558762,1986,1856,1942,1969,2504,2146,2872,1589,1828,2547,2175
Dctn5,2649,7,122133040,122149044,776,714,770,733,784,607,748,519,584,909,805
Dctn6,2853,8,34090419,34108796,1096,975,1082,1063,1451,1251,1549,1081,1000,1288,1306
Dctpp1,676,7,127256958,127260709,552,539,576,530,678,657,725,799,574,675,761
Dcun1d1,5304,3,35892104,35937445,693,731,735,724,907,761,893,659,802,984,900
Dcun1d2,3034,8,13255962,13288126,1136,1132,1178,1157,948,714,1072,749,934,1436,1168
Dcun1d3,6203,7,119853162,119896291,776,728,714,813,715,1115,890,757,683,959,803
Dcun1d4,5803,5,73481001,73560794,2550,2262,2603,2387,2095,1905,2368,1409,2161,2830,2549
Dcun1d5,1201,9,7184565,7207031,967,913,962,1015,1528,1274,1313,1129,950,1232,1187
Dcxr,1144,11,120725398,120727281,7837,6390,7444,6599,3097,6058,3485,4910,4833,6802,6955
Dda1,2846,8,71469198,71476098,1199,1266,1138,1205,1747,1440,1914,1344,1138,1606,1461
Ddah1,3983,3,145758674,145894277,11839,9957,11066,10868,5918,8087,6333,6019,8635,10139,9358
Ddah2,1593,17,35059034,35062095,514,509,578,535,2030,1485,2698,1917,699,932,831
Ddb1,4155,19,10605624,10629813,14365,13326,13632,13791,15503,13874,15283,8912,10733,14242,12958
Ddb2,2736,2,91211571,91236982,138,157,169,172,210,210,291,210,151,297,245
Ddc,4461,11,11814100,11898144,7093,5811,7575,7477,2701,4380,2429,2762,5595,6965,6194
Ddhd1,6759,14,45593173,45658143,547,535,582,509,686,497,822,377,528,755,594
Ddhd2,4267,8,25725323,25754280,928,898,1013,960,1096,904,1224,770,823,1150,1071
Ddi2,9553,4,141677548,141723419,5595,4874,4918,5761,3639,3351,3688,2544,4319,6285,4822
Ddit3,1713,10,127290773,127296288,445,571,338,385,686,405,532,494,418,696,621
Ddit4,1685,10,59949674,59951770,600,773,634,653,2041,2707,2439,1896,855,1126,939
Ddit4l,2916,3,137621611,137628333,805,973,866,799,1602,995,1594,1229,975,1260,929
Ddn,3740,15,98803781,98807925,527,485,540,528,377,443,182,174,354,505,321
Ddo,3000,10,40630010,40649931,2151,1806,2053,2029,1175,831,816,740,1460,1850,1750
Ddost,2120,4,138304729,138312628,4688,4555,4716,4415,6483,5098,6570,4722,4252,5422,5630
Ddr1,4774,17,35681566,35704621,6533,5742,6700,6151,10496,8196,12725,8060,5756,7993,7872
Ddr2,8424,1,169972307,170110501,453,579,596,481,2197,992,2084,263,836,1266,945
Ddrgk1,2084,2,130653959,130664659,5948,5595,6201,5951,5492,6254,5080,5596,5162,7121,6563
Ddt,773,10,75771229,75773414,2048,1777,2008,1695,1266,2115,1112,1784,1497,2067,1982
Ddx1,2507,12,13219307,13249213,4377,4050,4583,4266,5009,4426,4583,3031,4018,4954,4479
Ddx10,3368,9,53098453,53248112,651,700,716,710,1143,855,1174,559,732,993,910
Ddx11,4149,17,66123519,66152167,90,107,99,104,193,129,182,138,115,160,109
Ddx17,4761,15,79527706,79546741,9451,8142,8918,10481,11768,7932,10853,8567,7664,11475,8513
Ddx18,2483,1,121553834,121567989,380,357,375,401,476,394,506,323,353,433,456
Ddx19a,2957,8,110974995,110997800,792,720,728,701,881,831,1031,644,583,906,835
Ddx19b,6742,8,111003187,111031751,696,651,769,679,903,843,1008,572,673,892,798
Ddx20,4142,3,105678269,105687574,566,472,625,570,640,588,784,468,533,711,719
Ddx21,4742,10,62580247,62602298,2264,2063,2256,2260,3919,3118,4348,2092,2123,2995,2417
Ddx23,5452,15,98645133,98662889,2589,2620,2575,2739,3393,2637,3645,2186,2349,3295,2954
Ddx24,3157,12,103407975,103425867,2819,2705,2816,3091,3793,2977,3318,2473,2561,3700,3303
Ddx26b,7173,X,56454856,56507843,636,624,656,700,846,953,1166,1069,614,950,705
Ddx27,4817,2,167015192,167034947,1250,1289,1155,1303,1890,1387,1852,1193,1163,1472,1372
Ddx31,3534,2,28840405,28905571,264,236,248,276,368,236,377,239,245,360,302
Ddx39,5155,8,83715176,83726892,1000,844,977,960,1655,1247,1766,1291,959,1208,1175
Ddx39b,3783,17,35241745,35253707,3213,2972,3215,3725,4894,4471,5814,4325,2907,4229,3636
Ddx3x,5277,X,13280969,13294052,16346,16771,16946,16374,18818,18626,23453,10179,14747,20061,16460
Ddx4,2849,13,112598332,112652310,5,10,4,6,16,12,8,8,6,5,10
Ddx41,2205,13,55530409,55536658,2008,1928,2126,2029,3151,2265,2907,2315,1950,2474,2272
Ddx42,4228,11,106216925,106249139,2191,2092,2200,2335,2778,2570,3044,1959,2202,2907,2748
Ddx46,5747,13,55635026,55681256,2827,2641,2964,2739,3231,3120,3871,2221,2468,3489,3004
Ddx47,4952,6,135011611,135023776,1749,1645,1754,1724,1982,1706,2005,1455,1564,2267,2054
Ddx49,2928,8,70292865,70302489,907,773,875,896,1053,942,1164,944,784,1060,948
Ddx5,5775,11,106780354,106789185,17539,16009,17867,18990,22352,19804,21944,15731,15977,22039,17249
Ddx50,2527,10,62616022,62651218,2119,1873,2017,1908,2631,2445,2659,1765,2008,2730,2364
Ddx51,5248,5,110653450,110660496,555,629,556,639,670,553,799,485,600,744,633
Ddx52,3332,11,83942061,83963088,1285,1350,1320,1338,1806,1468,1788,1124,1268,1542,1526
Ddx54,3929,5,120613129,120628590,2470,2499,2295,2357,3516,2596,3820,2233,2027,2744,2595
Ddx55,5121,5,124552863,124569660,375,326,390,339,439,378,529,446,344,510,427
Ddx56,2533,11,6258918,6267772,1137,1032,1121,1118,1455,1344,1544,1117,934,1348,1233
Ddx58,7050,4,40203772,40239828,1184,1345,1216,1169,2732,1531,2520,1545,2032,3264,3014
Ddx59,2953,1,136415270,136440158,342,394,442,378,456,536,525,329,380,495,538
Ddx6,6065,9,44604891,44640731,8073,7581,7703,7956,8634,7573,9457,5722,7086,10159,8504
Ddx60,6931,8,61928086,62037701,38,49,67,52,191,78,258,79,229,378,272
Deaf1,2192,7,141297175,141327725,1034,1043,1102,1010,1103,1328,1423,1156,875,1359,1206
Deb1,517,9,121710388,121712921,828,713,691,710,589,625,483,660,645,796,796
Decr1,3879,4,15917239,15945507,8445,7346,9133,9822,5581,7427,5584,6115,8790,10010,9257
Decr2,2288,17,26081210,26090329,3185,2727,3153,3142,1766,2875,1912,2055,2345,3270,3359
Dedd,5861,1,171329144,171342331,192,167,173,178,205,165,235,131,145,238,193
Dedd2,1828,7,25202839,25219859,715,686,634,590,758,890,888,766,506,907,767
Def6,2524,17,28207777,28228608,190,193,236,198,453,276,538,339,210,412,362
Def8,3988,8,123442985,123463270,1031,888,1114,1110,693,893,883,508,866,1102,1015
Defb1,872,8,21776598,21795185,14096,10696,14309,11169,8939,7829,9196,6142,5090,9822,10977
Defb11,317,8,21905375,21906412,10,12,9,9,14,17,15,21,5,20,14
Defb19,394,2,152576085,152580312,14,16,10,17,10,8,3,12,22,11,15
Defb2,305,8,21839925,21843482,11,10,11,7,20,15,12,30,11,14,24
Defb26,561,2,152507797,152511692,6,7,23,18,0,7,3,4,8,18,9
Defb29,462,2,152538713,152540098,1007,1140,1165,898,821,1334,519,927,1116,1303,1351
Defb36,468,2,152604326,152612729,0,0,0,0,109,42,49,45,3,2,1
Defb42,2425,14,63046990,63058149,17,23,18,6,31,38,42,44,35,46,29
Degs1,2591,1,182275771,182282804,7512,6691,7482,6771,8113,7663,7204,6028,6244,8303,8616
Degs2,3574,12,108686791,108702306,350,363,365,391,489,460,673,578,274,362,409
Dek,3089,13,47084774,47106201,2758,2779,2967,2776,3453,3000,3953,2429,2814,3925,3493
Dennd1a,5740,2,37798990,38287390,2670,2341,2594,2456,2553,2202,2386,1883,2222,2944,2688
Dennd1b,13659,1,138963435,139176043,1076,964,956,1002,1104,999,1327,780,1050,1381,1256
Dennd1c,2520,17,57066055,57078510,216,215,249,244,358,242,429,212,280,542,505
Dennd2a,5429,6,39462377,39557867,143,162,222,154,841,405,663,194,233,357,249
Dennd2c,6858,3,103102603,103169769,89,100,96,83,174,104,188,75,109,170,86
Dennd2d,4456,3,106482404,106503030,349,548,371,326,461,329,458,299,332,630,679
Dennd3,5703,15,73512559,73572242,1477,1357,1610,1521,1457,1495,1468,1200,1144,1673,1559
Dennd4a,8645,9,64811339,64919667,719,797,788,724,939,846,1206,514,811,1238,1154
Dennd4b,6031,3,90265184,90280669,392,394,497,433,603,461,750,451,497,1080,781
Dennd4c,8482,4,86748554,86850603,1412,1336,1263,1171,977,843,1440,468,965,1561,1236
Dennd5a,8677,7,109893779,109960470,4134,4017,4194,3831,6306,4388,5872,2826,3943,5696,4919
Dennd5b,10621,6,148988070,149101680,1231,1010,1082,1141,643,694,734,540,761,1061,844
Dennd6a,5710,14,26579577,26633394,680,686,711,644,572,522,748,326,551,807,627
Dennd6b,4607,15,89182216,89196474,241,260,251,291,301,294,362,422,230,356,278
Denr,2844,5,123907174,123928832,1566,1464,1497,1496,2005,1755,1878,1640,1401,1695,1860
Depdc1a,3323,3,159495432,159529955,4,5,5,3,62,22,58,25,11,36,39
Depdc1b,3350,13,108316331,108407782,672,635,645,592,745,608,560,499,594,763,732
Depdc5,11767,5,32863700,32994231,1036,1017,1052,1031,1062,890,1164,683,896,1324,1118
Depdc7,2096,2,104721783,104742878,1244,1082,1266,1135,745,843,761,813,1025,1321,1096
Deptor,8874,15,55112316,55259271,6626,5727,6513,5959,5365,5667,6496,3182,5285,7409,6322
Dera,1742,6,137754541,137837891,2452,2109,2390,2190,1765,2207,1684,1679,1951,2378,2431
Derl1,3145,15,57869501,57892418,3940,3752,3866,3537,4129,3519,3925,3119,3518,4540,4531
Derl2,8049,11,71007163,71019841,1739,1594,1635,1611,2075,1709,1959,1654,1585,2084,1910
Derl3,1336,10,75893397,75895941,26,21,55,34,279,54,16,16,28,63,51
Des,3754,1,75360328,75368579,432,546,582,487,1906,960,1668,568,683,843,637
Desi1,3635,15,81992522,82033862,157,169,149,141,152,100,156,96,138,198,179
Desi2,4453,1,178187416,178252598,939,874,847,880,1143,889,1416,809,825,1287,1138
Det1,2877,7,78822961,78847236,277,285,294,287,369,268,357,270,281,415,389
Dexi,3353,16,10502530,10543054,410,411,406,382,540,383,518,543,433,676,708
Dffa,3540,4,149104145,149120647,1008,860,1018,1037,1168,1034,1236,871,860,1261,1141
Dffb,2351,4,153964448,153975126,89,107,89,92,148,175,197,136,125,145,106
Dfna5,7375,6,50189368,50263862,482,522,557,625,753,825,725,720,602,683,654
Dfnb59,1364,2,76648475,76658556,78,131,109,106,11,28,3,8,67,87,86
Dgat1,3054,15,76502014,76511951,994,908,966,965,1391,1305,1242,1289,1006,1186,1155
Dgat2,2251,7,99153662,99182713,6319,5529,6618,6697,2987,5115,3193,3812,5243,6554,5883
Dgcr14,2819,16,17900710,17911348,507,473,519,470,716,665,871,646,437,770,649
Dgcr2,6638,16,17839481,17894145,35,38,35,34,23,23,22,13,22,41,24
Dgcr6,2985,16,18052859,18071632,603,582,648,528,541,579,537,586,497,665,654
Dgcr8,7286,16,18253947,18289249,850,793,848,792,1017,824,1204,548,693,1035,819
Dgka,2808,10,128720140,128744056,622,577,669,710,933,672,851,690,609,903,858
Dgkb,5544,12,37880704,38633410,73,80,81,83,75,62,73,56,56,51,41
Dgkd,6850,1,87853286,87945180,3685,3136,3482,3526,3080,2599,3443,1719,3118,4068,3453
Dgke,8387,11,89035178,89066850,266,347,309,267,462,388,564,251,292,474,389
Dgkg,5580,16,22468460,22657221,215,189,315,233,216,305,242,127,213,399,425
Dgkh,3967,14,78569608,78725089,131,150,131,147,165,159,244,127,99,227,125
Dgki,6242,6,36846021,37300184,13,9,16,6,3,2,3,2,5,10,8
Dgkq,7189,5,108646692,108669672,1154,1053,1258,1349,981,1041,1175,1077,964,1498,1101
Dgkz,6270,2,91932823,91975864,4226,3706,4479,4382,4560,3713,4579,3679,3962,5825,4967
Dguok,2191,6,83480216,83506969,632,565,663,611,705,618,746,683,632,880,786
Dhcr24,4028,4,106561037,106589113,10962,7846,10424,9282,5178,5599,5695,3982,6263,8711,8243
Dhcr7,3784,7,143823144,143848410,1218,959,1284,916,920,817,964,884,818,1201,1267
Dhdds,3784,4,133969027,134000918,2154,1957,2000,2152,2119,1685,2041,1462,1582,2096,1907
Dhdh,3678,7,45472955,45488805,714,715,987,719,351,489,347,282,642,890,841
Dhfr,5290,13,92354782,92389053,2948,2316,2979,2889,1408,1820,1209,1497,2344,2902,2331
Dhh,2363,15,98893030,98898540,44,50,27,30,72,91,109,72,59,53,54
Dhodh,6326,8,109591342,109608673,588,530,611,623,620,580,654,567,533,765,675
Dhps,2324,8,85071756,85075162,434,452,515,401,770,687,820,531,443,659,591
Dhrs1,2760,14,55739019,55745690,4091,3576,4179,3448,3520,3521,3403,2696,3361,4284,3970
Dhrs11,1603,11,84820855,84828994,997,853,952,893,687,691,689,724,705,1065,1057
Dhrs13,1967,11,78032279,78037866,273,274,288,259,332,275,334,270,293,273,308
Dhrs13os,2429,11,78030011,78032665,10,9,16,13,20,13,20,21,9,13,12
Dhrs3,2927,4,144892826,144928209,7245,6248,9037,7655,5692,6619,4905,6256,7014,9418,8317
Dhrs4,1390,14,55478757,55490338,6246,5189,6503,6242,4231,5415,4047,4979,5494,6570,5878
Dhrs7,1301,12,72650355,72664828,773,670,778,844,1049,907,1061,620,760,1195,1443
Dhrs7b,3325,11,60830630,60860195,1260,1140,1325,1178,1299,1046,1065,1120,1203,1510,1431
Dhrs9,4281,2,69380444,69404533,4,6,5,6,13,8,53,17,20,16,15
Dhtkd1,5843,2,5896114,5942792,772,621,800,600,160,526,329,243,404,707,552
Dhx15,3009,5,52150208,52190519,5343,4511,4783,4950,4913,4381,5758,3080,4447,5743,4892
Dhx16,4094,17,35879818,35892670,1671,1634,1716,1805,2054,1608,1970,1576,1603,2064,1731
Dhx29,4405,13,112927729,112969431,1222,1095,1143,1259,1180,864,1042,782,1015,1314,1018
Dhx30,9643,9,110084319,110117830,2614,2537,2536,2725,2632,2153,2717,1767,2215,3139,2556
Dhx32,4173,7,133720941,133782726,1798,1792,1921,1689,2372,1937,2394,1393,1578,2100,1894
Dhx33,7689,11,70984090,71004437,879,837,907,925,1130,913,1255,701,800,1096,934
Dhx34,4596,7,16197146,16222037,608,670,780,707,867,767,972,763,587,1076,936
Dhx35,5170,2,158794806,158858214,470,483,572,503,676,547,717,450,469,644,586
Dhx36,4389,3,62470038,62507004,1551,1461,1726,1577,1627,1479,1811,1219,1552,2057,1803
Dhx37,4139,5,125414405,125434048,549,441,542,512,715,545,743,461,436,619,535
Dhx38,4197,8,109548016,109565601,1546,1546,1431,1528,1986,1450,1909,1129,1420,1882,1690
Dhx40,4233,11,86768845,86807746,3012,2939,3180,3178,3303,3612,3248,2264,2744,3504,2990
Dhx57,5077,17,80238303,80290476,630,593,676,609,812,572,850,601,534,883,688
Dhx58,3272,11,100694883,100704271,46,63,63,57,316,129,320,115,299,441,298
Dhx8,5032,11,101732918,101767358,1162,1155,1179,1216,1346,1039,1363,808,1017,1540,1283
Dhx9,8034,1,153455757,153487660,5687,5142,5437,5493,7503,8056,8864,4883,5308,6852,5900
Diablo,6155,5,123509764,123524176,798,675,813,788,834,764,794,565,701,928,833
Diap1,6339,18,37843600,37935476,4451,4258,3905,4258,5424,4399,5864,3414,3640,5362,4876
Diap2,11553,X,129749741,130465834,936,846,966,877,1226,885,1439,748,907,1195,1085
Diap3,4584,14,86655366,87141224,13,29,14,17,153,52,144,60,60,68,62
Dicer1,9851,12,104687741,104751952,2443,2215,2407,2459,2523,2357,3056,1845,2139,3085,2529
Dido1,13307,2,180657963,180709999,2285,2063,2374,2320,2094,2084,2627,1694,1755,2962,2200
Diexf,5548,1,193104402,193130251,403,417,428,445,405,350,508,319,416,550,475
Dimt1,2545,13,106947128,106960224,79,82,84,75,116,93,137,75,76,106,79
Dio1,1970,4,107291464,107307169,2802,2218,3357,2818,1310,547,439,392,1954,2359,2592
Dio2,5813,12,90724553,90738438,22,31,22,38,178,229,283,61,105,109,53
Dio3,2030,12,110279067,110281097,13,6,13,8,48,78,67,11,11,13,6
Dio3os,1281,12,110275383,110278068,41,54,83,57,58,139,93,77,40,77,56
Dip2a,8215,10,76259428,76345291,1561,1538,1454,1389,1379,1269,1946,980,1255,1975,1616
Dip2b,9553,15,100038663,100219473,595,566,577,608,918,674,1080,666,610,882,708
Dip2c,8223,13,9276527,9668928,1870,1504,1697,1644,1424,1537,1625,1045,1348,1884,1537
Dirc2,5395,16,35694061,35769356,1339,1398,1343,1268,1902,1694,1872,1155,1202,1686,1691
Dis3,3722,14,99076633,99099770,658,568,610,619,638,558,792,336,515,665,556
Dis3l,5458,9,64306755,64341288,1792,1584,1672,1688,1421,1120,1241,868,1361,1891,1567
Dis3l2,8170,1,86703807,87050095,478,426,506,506,490,535,590,340,431,576,583
Disc1,3804,8,125054194,125261858,24,22,34,36,74,32,58,21,21,78,52
Disp1,5112,1,183086263,183221529,270,274,338,261,309,263,325,184,247,375,311
Disp2,9555,2,118779718,118811293,11,19,36,20,19,13,16,14,17,36,20
Dixdc1,9971,9,50662751,50739517,652,861,772,615,393,440,479,349,472,761,753
Dkc1,4121,X,75095853,75109777,864,852,882,826,1184,1006,1153,688,851,1093,1069
Dkk2,3694,3,132085291,132180293,1080,1272,1261,1090,2194,1211,1621,1027,1262,1870,1546
Dkk3,3357,7,112116018,112159057,703,785,772,881,3094,1817,2733,593,1150,2001,2394
Dkkl1,903,7,45207524,45211883,3,2,3,1,17,12,22,11,11,20,20
Dlat,4886,9,50634632,50659780,6876,6115,6511,6205,4279,4622,4359,3186,5198,6650,6254
Dlc1,14694,8,36567750,36953143,1777,1634,1874,1661,2750,2005,2708,1071,1587,2288,1752
Dld,2241,12,31331563,31351437,15137,13069,14790,13742,7825,8653,7811,6266,11430,14569,13860
Dlec1,6696,9,119102477,119148246,2121,1823,2189,2324,1275,1139,1155,1292,1447,2380,1907
Dleu2,6169,14,61602838,61682373,134,132,159,144,98,81,116,99,145,202,117
Dleu7,1330,14,62276230,62292979,728,595,579,717,340,271,227,402,522,481,468
Dlg1,8963,16,31663442,31873356,3986,4742,4018,3812,4409,3758,4408,2402,3810,4929,4551
Dlg2,10345,7,91090705,92447003,165,138,202,160,68,46,52,17,71,143,76
Dlg3,5844,X,100767721,100818410,1262,1180,1278,1228,1172,1045,1233,755,969,1609,1371
Dlg4,4982,11,70017084,70045532,219,211,235,225,539,331,530,280,273,435,379
Dlg5,8491,14,24133952,24245920,2149,1920,2054,2137,2589,2262,3122,1845,1783,2791,2051
Dlgap1,16992,17,69969072,70821413,59,219,85,45,16,20,16,12,60,118,84
Dlgap3,4521,4,127169203,127237022,16,20,24,18,41,19,16,12,28,33,28
Dlgap4,8451,2,156613704,156764363,1090,1059,1164,1138,2425,1852,2838,1977,1176,1937,1624
Dlgap5,6650,14,47387778,47418407,15,16,22,13,153,49,96,54,50,100,72
Dlk1,5657,12,109452822,109463336,19,6,5,14,4,1,2,28,11,2,0
Dlk2,2113,17,46297420,46303271,16,15,13,15,24,22,28,27,13,11,5
Dll1,4219,17,15367353,15376872,287,286,258,268,356,348,427,437,271,350,340
Dll4,3852,2,119325783,119335962,360,380,339,387,463,242,322,273,263,488,365
